,MASA,CAM,SU,İYİLİK,TÜTÜN,KELİME,KALEM,ÖLÇEK,ÇANTA,AĞAÇ,PARK,SARI,ŞİŞE,BEYİN,BARDAK,YAZI,KAĞIT,BİNA,KOLAY,RAKAM,KÖPEK,EKRAN,KALE,TABAK,TERLİK,KEDİ,CÜZDAN,KAPI,GRUP,BÜYÜK,DEFTER,SPOR,TOPLU,ELMA,KAŞIK,SEHPA,KISA,İLAÇ,KOLTUK,PARKUR,TOPRAK,KALAS,DOLAP,KİTAP,ODA,HALI,KÜÇÜK,DUVAR,SALÇA,ÇİÇEK,YATAK,LAMBA,DÜĞME,KOKU,FIRIN,TAHTA,MARKET,MEKTUP,KASA,HARİTA,DERGİ,PARA,ZEMİN,HALKA,TERAS,SIRA,KUTU,BAHÇE,SİLGİ,KALIP,ÇORAP
TABAK,0.43186903,0.40991175,0.23428173,0.35949638,0.35879788,0.30198815,0.36608773,0.3670789,0.41621414,0.42421114,0.3211283,0.4297409,0.44446674,0.33232448,0.5906008,0.32170463,0.42111093,0.3455709,0.33618852,0.25622904,0.30023456,0.2149571,0.34894928,0.99999976,0.46227136,0.38218427,0.3968097,0.36269918,0.3409482,0.3422365,0.31488657,0.24731338,0.28595725,0.38530537,0.589364,0.47021928,0.24146943,0.35177103,0.3108672,0.31029928,0.47002715,0.43654722,0.44848338,0.3469336,0.29120404,0.36865053,0.40193725,0.37260982,0.4728284,0.43855566,0.38653073,0.44455907,0.48158228,0.3657689,0.3987358,0.44751346,0.34105295,0.20771861,0.32056302,0.28104672,0.28582823,0.2812118,0.40683833,0.3083392,0.36542356,0.23586659,0.45169908,0.40778512,0.2809936,0.44882903,0.45754716
TERLİK,0.38854823,0.2909003,0.15973511,0.43541154,0.2841354,0.3511089,0.35773638,0.3433252,0.51296484,0.41179168,0.35041663,0.34982225,0.38994074,0.40013233,0.45335865,0.339029,0.4531401,0.31181535,0.45026922,0.2948154,0.4491951,0.25872934,0.33212492,0.46227136,0.99999994,0.4558914,0.5149376,0.40499806,0.39615887,0.34041107,0.27935404,0.40417683,0.343236,0.3695178,0.44719017,0.5154791,0.33418828,0.4146146,0.31538105,0.38836282,0.37981918,0.40588966,0.4151393,0.30689865,0.25186485,0.41418114,0.38337055,0.41600177,0.44570726,0.4450991,0.43967918,0.4112078,0.4957439,0.41236085,0.34965762,0.3874861,0.38687804,0.2856569,0.36041346,0.24931696,0.25219536,0.41149443,0.34017166,0.36570862,0.38724977,0.22600672,0.37107033,0.41024756,0.46587232,0.47462818,0.59220797
KEDİ,0.361748,0.3791226,0.35619336,0.4100088,0.23900189,0.40668795,0.36281714,0.2553176,0.41159993,0.51443917,0.3275073,0.397489,0.45488286,0.4158586,0.4494736,0.34613663,0.48975852,0.30468395,0.34694973,0.40979925,0.70313257,0.20159848,0.32836217,0.38218427,0.4558914,1.0,0.4445237,0.43674022,0.2181228,0.2836857,0.3339461,0.18278973,0.3067139,0.43838486,0.5216344,0.49827254,0.23800799,0.40010008,0.3129203,0.29876867,0.30796885,0.29445735,0.4474491,0.39015332,0.28772464,0.40776375,0.40748918,0.45246166,0.49562237,0.42466453,0.29842544,0.40189543,0.4931671,0.43662935,0.38688603,0.51190585,0.32642394,0.3423602,0.29301727,0.25718153,0.28750277,0.39314502,0.2799668,0.31254506,0.3394798,0.20852923,0.46453822,0.42856082,0.37248266,0.42366743,0.47706312
CÜZDAN,0.39454857,0.31573445,0.3342595,0.37405592,0.2948192,0.3750736,0.3557948,0.32051277,0.53760237,0.34469643,0.33109537,0.26875907,0.42463765,0.39414138,0.46245474,0.39925295,0.4929894,0.34125167,0.43971008,0.4426088,0.44155043,0.37605128,0.3291803,0.3968097,0.5149376,0.4445237,1.0000001,0.4451493,0.25811055,0.3292968,0.43763897,0.27293104,0.35500956,0.31281948,0.46361983,0.5454403,0.30601087,0.39676955,0.28515083,0.39640617,0.26826927,0.22600183,0.45029032,0.40706107,0.32825705,0.37173656,0.39393112,0.39827695,0.48013663,0.37157372,0.35849226,0.4272605,0.5488011,0.3815735,0.36814502,0.44594243,0.4286536,0.33242354,0.43380222,0.30670723,0.29481363,0.5471773,0.33090633,0.34993306,0.29176295,0.34448394,0.40702856,0.32912448,0.47382417,0.3527251,0.53130877
KAPI,0.39432248,0.4355617,0.26253882,0.31536233,0.24257939,0.27890334,0.3424815,0.22089843,0.42792487,0.37998834,0.37170538,0.31100377,0.33917266,0.3204189,0.33007845,0.29830888,0.35502508,0.3927805,0.3453556,0.2861585,0.39206737,0.2372931,0.4739236,0.36269918,0.40499806,0.43674022,0.4451493,0.9999999,0.3474421,0.32838392,0.31599095,0.20968714,0.3183804,0.25010276,0.34707394,0.5148338,0.2258432,0.3029938,0.35490826,0.36562783,0.25350237,0.28713337,0.5527802,0.341735,0.34311146,0.32073653,0.35669026,0.46236432,0.37807405,0.35582817,0.4476259,0.4541586,0.507465,0.37101766,0.43650246,0.40823472,0.3864497,0.3020433,0.4074521,0.26620996,0.286172,0.3330259,0.36368072,0.41567418,0.3454964,0.28041914,0.3517845,0.40463674,0.38820836,0.43744478,0.35487127
GRUP,0.3153506,0.25546244,0.16636571,0.35754082,0.2934659,0.34164274,0.2759536,0.34684858,0.30922002,0.3065242,0.37398925,0.18648896,0.23223527,0.31778517,0.2631493,0.3462526,0.27952322,0.36539194,0.21974641,0.25271663,0.2377105,0.15237685,0.34606922,0.3409482,0.39615887,0.2181228,0.25811055,0.3474421,1.0000002,0.2918785,0.29508024,0.40395597,0.35744882,0.18902083,0.2963907,0.3361218,0.3189331,0.33033055,0.2376708,0.34581828,0.28851986,0.28649098,0.33751026,0.3213213,0.34970447,0.22713657,0.29692248,0.23378327,0.31266814,0.30663848,0.3352541,0.3090623,0.35516095,0.24822873,0.25932583,0.22908488,0.33326158,0.23761359,0.26540142,0.33684102,0.29264843,0.19190018,0.3252143,0.32983932,0.3249749,0.36846682,0.31222457,0.37912348,0.3299725,0.36500543,0.33596778
BÜYÜK,0.30010694,0.20317115,0.19212815,0.42138854,0.26577687,0.3884995,0.34475872,0.40263653,0.32057467,0.35565346,0.28850633,0.29599088,0.26435834,0.4244251,0.24198359,0.30602837,0.2754525,0.3217062,0.4199512,0.40951324,0.38663247,0.27939996,0.32212403,0.3422365,0.34041107,0.2836857,0.3292968,0.32838392,0.2918785,0.9999995,0.29639074,0.31809774,0.29439667,0.35061005,0.32080743,0.281725,0.40214,0.3721858,0.22135761,0.37617996,0.36393052,0.37971416,0.35549107,0.39184794,0.24271318,0.2882086,0.63601464,0.2465475,0.29493228,0.33505622,0.32855085,0.24327515,0.2900888,0.3326461,0.2687749,0.32784572,0.31523734,0.26266268,0.3081313,0.23712687,0.3140816,0.3572102,0.3662879,0.3959347,0.2937864,0.3317975,0.33786014,0.291596,0.29815382,0.36502478,0.28807086
DEFTER,0.2892703,0.23739241,0.21212211,0.29475003,0.22885239,0.32983643,0.48082516,0.3587345,0.33822736,0.3304028,0.26190498,0.23766442,0.22253215,0.2976367,0.34781238,0.38265523,0.47043273,0.28180698,0.31698966,0.33462545,0.30521598,0.31146687,0.29790884,0.31488657,0.27935404,0.3339461,0.43763897,0.31599095,0.29508024,0.29639074,1.0000002,0.24102236,0.32276386,0.28340057,0.3610754,0.39367822,0.24604793,0.39090934,0.21883541,0.30235866,0.19691586,0.26617822,0.38817692,0.41127813,0.28945902,0.32597062,0.34098974,0.29040268,0.33926755,0.2677856,0.28865713,0.27282313,0.39651746,0.21581864,0.30586132,0.44531265,0.37094742,0.36139968,0.43917024,0.32050654,0.33158153,0.34059075,0.2770201,0.29826453,0.21476254,0.33281827,0.3529138,0.2763114,0.41987616,0.34746334,0.375554
SPOR,0.2822512,0.16295737,0.1552661,0.3208871,0.35316342,0.16235542,0.27986747,0.29755515,0.287681,0.27073872,0.37995398,0.282249,0.1846335,0.2790989,0.22061442,0.2943637,0.24344338,0.30354744,0.22308363,0.20701045,0.26294973,0.211864,0.21489319,0.24731338,0.40417683,0.18278973,0.27293104,0.20968714,0.40395597,0.31809774,0.24102236,1.0,0.28589264,0.18898071,0.2817816,0.24497288,0.21131587,0.25267872,0.19400802,0.35895464,0.2292918,0.26835835,0.27409667,0.32196918,0.27164456,0.3344778,0.3065163,0.2844774,0.29432732,0.25466007,0.24677491,0.20948437,0.19304712,0.1727931,0.2334234,0.21073952,0.31603563,0.23582946,0.21545395,0.26485533,0.2921046,0.29957724,0.3433608,0.26566556,0.27361637,0.24695124,0.19521134,0.3366071,0.2321775,0.2642514,0.3077318
TOPLU,0.31692114,0.22855262,0.23199937,0.26895118,0.3333082,0.21731742,0.26339287,0.28481567,0.36395854,0.27165052,0.27073896,0.19630422,0.22953182,0.24704441,0.31993833,0.33488584,0.31192338,0.36849585,0.33430362,0.28704256,0.25638556,0.20329036,0.23981237,0.28595725,0.343236,0.3067139,0.35500956,0.3183804,0.35744882,0.29439667,0.32276386,0.28589264,1.0000004,0.20200007,0.3086849,0.3323912,0.3854969,0.27550188,0.16557239,0.27963534,0.22632962,0.2679145,0.3029493,0.25208116,0.2631976,0.34180456,0.28430092,0.28866926,0.27794263,0.22122326,0.25069556,0.2175321,0.30560252,0.2369505,0.29816496,0.3337104,0.26049814,0.30632153,0.25795543,0.2826053,0.15987334,0.32891375,0.3011008,0.36872554,0.2863969,0.24696684,0.2874284,0.31523407,0.32243937,0.32565746,0.3184329
ELMA,0.25283614,0.22582108,0.2583695,0.2985138,0.29073408,0.30512333,0.3127651,0.2833898,0.29447696,0.45496464,0.2658569,0.37203988,0.3559047,0.34692186,0.48598298,0.22282986,0.32027236,0.11211324,0.26503518,0.2290461,0.34529254,0.20720464,0.34732297,0.38530537,0.3695178,0.43838486,0.31281948,0.25010276,0.18902083,0.35061005,0.28340057,0.18898071,0.20200007,1.0000002,0.46791017,0.30976892,0.2578248,0.34470546,0.24608445,0.22145346,0.37988362,0.31071284,0.32383987,0.30903822,0.21922381,0.2553733,0.4091128,0.24248965,0.47097474,0.4328264,0.18755391,0.372273,0.37450653,0.29701772,0.31033766,0.38513634,0.31880867,0.19027829,0.28038666,0.25645864,0.28097302,0.29569396,0.2083349,0.3181358,0.22142626,0.18196659,0.33055973,0.33270732,0.28897247,0.29841733,0.37159407
KAŞIK,0.36656335,0.33892396,0.34811997,0.36525756,0.38553292,0.43382415,0.42268944,0.34942523,0.45625564,0.52794886,0.25922924,0.41047657,0.48971486,0.4394038,0.66448987,0.33028466,0.4823307,0.29508787,0.33299094,0.38190818,0.47808042,0.25273076,0.34951925,0.589364,0.44719017,0.5216344,0.46361983,0.34707394,0.2963907,0.32080743,0.3610754,0.2817816,0.3086849,0.46791017,1.0000001,0.5529075,0.25696507,0.37440887,0.2993631,0.31665853,0.37978312,0.32654744,0.46915707,0.34491038,0.31497446,0.3699187,0.4330654,0.40325892,0.6344693,0.48077187,0.35802782,0.45719424,0.5467939,0.44664228,0.48027533,0.5612475,0.34790733,0.2665508,0.29798517,0.22953762,0.24597809,0.32805747,0.37077358,0.38025787,0.3918596,0.31211004,0.491002,0.38594198,0.395024,0.41832677,0.5427536
SEHPA,0.52668655,0.46984845,0.32174003,0.33233082,0.2926084,0.35663825,0.40906158,0.4327764,0.5897645,0.4962514,0.40847978,0.2877033,0.48921588,0.40347996,0.5614289,0.35851064,0.49280554,0.37461513,0.34985888,0.41313505,0.42179456,0.31366196,0.43328118,0.47021928,0.5154791,0.49827254,0.5454403,0.5148338,0.3361218,0.281725,0.39367822,0.24497288,0.3323912,0.30976892,0.5529075,1.0000004,0.23282285,0.30652258,0.4808347,0.3338442,0.2641244,0.2223889,0.6894621,0.34392086,0.36965445,0.48858428,0.38801706,0.49866617,0.6288063,0.3627336,0.5367128,0.59616035,0.7414451,0.39485133,0.54775107,0.56107914,0.4714423,0.28244063,0.48640177,0.29155988,0.27756876,0.3587232,0.43879315,0.3037183,0.49297664,0.20733558,0.53343695,0.4780762,0.42197606,0.49310935,0.6450923
KISA,0.2334048,0.19416364,0.1385664,0.35737807,0.25287086,0.31282017,0.2824258,0.32741725,0.1827021,0.21992569,0.1555631,0.27607116,0.2324991,0.30503222,0.24394661,0.37966874,0.1980535,0.2552132,0.4281136,0.28618532,0.24177562,0.22410509,0.22877456,0.24146943,0.33418828,0.23800799,0.30601087,0.2258432,0.3189331,0.40214,0.24604793,0.21131587,0.3854969,0.2578248,0.25696507,0.23282285,0.99999994,0.34222457,0.069293715,0.30486232,0.2559568,0.31188196,0.26058215,0.38202956,0.2037581,0.1982767,0.31702003,0.1862943,0.23418613,0.27991423,0.18432899,0.28447312,0.30804482,0.24189425,0.16218105,0.26313043,0.2304134,0.29579732,0.28559422,0.22214225,0.29404253,0.2725343,0.27445534,0.31938106,0.21034318,0.277971,0.31417528,0.16100161,0.23595725,0.35068867,0.25113052
İLAÇ,0.29915038,0.3333976,0.27931735,0.40213785,0.4490067,0.34608743,0.33146685,0.32344562,0.30312493,0.36161256,0.26726076,0.2568395,0.38903543,0.42316753,0.356577,0.2552295,0.42969358,0.31514016,0.35800388,0.27426392,0.4141924,0.16778235,0.23842925,0.35177103,0.4146146,0.40010008,0.39676955,0.3029938,0.33033055,0.3721858,0.39090934,0.25267872,0.27550188,0.34470546,0.37440887,0.30652258,0.34222457,1.0,0.18268733,0.31548256,0.31287456,0.26062173,0.2940187,0.33294442,0.26594555,0.290449,0.2957281,0.23414057,0.3977158,0.29014316,0.35169405,0.27646717,0.32545424,0.39387953,0.27447367,0.33568314,0.39962506,0.17236842,0.3359591,0.33075923,0.3730239,0.34200168,0.31630602,0.31270397,0.19445907,0.29746172,0.3681195,0.30673888,0.35833186,0.39979964,0.34263012
KOLTUK,0.31087336,0.27815372,0.100630455,0.18487029,0.17387511,0.19082552,0.21503319,0.1713982,0.3497501,0.25764906,0.38258308,0.2785519,0.17559999,0.31244662,0.3007032,0.20981687,0.25622314,0.2770984,0.21895793,0.25268432,0.26564562,0.23488957,0.24638696,0.3108672,0.31538105,0.3129203,0.28515083,0.35490826,0.2376708,0.22135761,0.21883541,0.19400802,0.16557239,0.24608445,0.2993631,0.4808347,0.069293715,0.18268733,1.0,0.28044406,0.23523958,0.2060373,0.40479866,0.19733225,0.27808627,0.3886996,0.22169122,0.32051012,0.33380875,0.2592888,0.46017808,0.36555648,0.37677523,0.3112957,0.2795183,0.29046804,0.24400528,0.16621172,0.29208225,0.21824104,0.15432076,0.1924797,0.29852763,0.20601971,0.3247991,0.19487686,0.31711248,0.35911813,0.2090626,0.28622708,0.3469225
PARKUR,0.39788345,0.27087474,0.17521425,0.3229837,0.22956532,0.3281664,0.28924832,0.37249678,0.3489035,0.27629358,0.55367273,0.26657224,0.26093525,0.34230086,0.23938496,0.2943852,0.25403866,0.3874691,0.29036218,0.30227023,0.34479737,0.3432414,0.32113516,0.31029928,0.38836282,0.29876867,0.39640617,0.36562783,0.34581828,0.37617996,0.30235866,0.35895464,0.27963534,0.22145346,0.31665853,0.3338442,0.30486232,0.31548256,0.28044406,1.0,0.24761248,0.30216286,0.4097581,0.33112192,0.2963474,0.30769196,0.2895999,0.3162086,0.31460726,0.2627292,0.36667022,0.36776924,0.34758785,0.27347842,0.24563155,0.38986462,0.35866475,0.2437141,0.31241393,0.33649737,0.29666865,0.2965479,0.35458484,0.27219996,0.39832202,0.28081498,0.33451784,0.37669957,0.32842872,0.33249342,0.27244642
TOPRAK,0.2510175,0.2567484,0.33389926,0.27669615,0.34626767,0.28830588,0.24575792,0.2879616,0.21893884,0.45904207,0.3101357,0.31853676,0.2571215,0.3111242,0.32327357,0.24472255,0.31029433,0.34571058,0.2446111,0.22649679,0.26507375,0.22095068,0.33498976,0.47002715,0.37981918,0.30796885,0.26826927,0.25350237,0.28851986,0.36393052,0.19691586,0.2292918,0.22632962,0.37988362,0.37978312,0.2641244,0.2559568,0.31287456,0.23523958,0.24761248,0.9999999,0.3306826,0.29038775,0.28827846,0.27958626,0.31045234,0.3622997,0.3178378,0.34517598,0.3972849,0.30047488,0.31237006,0.26918492,0.36813366,0.3516005,0.32722732,0.26934072,0.15665694,0.25854203,0.31767482,0.19275494,0.34029838,0.41303796,0.26579595,0.3260965,0.21577267,0.30203944,0.42530394,0.28169987,0.30387846,0.25706863
KALAS,0.24049532,0.24123397,0.14569741,0.28827983,0.26175427,0.2478766,0.24254711,0.30116007,0.24587014,0.24144402,0.29423845,0.35000056,0.24011645,0.28353894,0.3610576,0.2550685,0.31487644,0.24925365,0.35511574,0.25308985,0.24373126,0.15550832,0.31350172,0.43654722,0.40588966,0.29445735,0.22600183,0.28713337,0.28649098,0.37971416,0.26617822,0.26835835,0.2679145,0.31071284,0.32654744,0.2223889,0.31188196,0.26062173,0.2060373,0.30216286,0.3306826,1.0,0.22196402,0.25458395,0.14567086,0.29251215,0.4007821,0.30332863,0.32629427,0.33133048,0.22791114,0.28311476,0.23835877,0.26692703,0.2860627,0.34505397,0.29216567,0.2843251,0.22959252,0.23948179,0.23172793,0.20750467,0.25235647,0.25087264,0.30728653,0.254249,0.24416009,0.24540377,0.19058792,0.3570725,0.2337792
DOLAP,0.49486926,0.399174,0.28068063,0.30532122,0.2446828,0.35777253,0.39726254,0.33560592,0.47555998,0.40667063,0.42438403,0.28119984,0.3778577,0.38103974,0.479744,0.4105587,0.42332464,0.40656236,0.38596067,0.36609888,0.40081134,0.27886313,0.3725748,0.44848338,0.4151393,0.4474491,0.45029032,0.5527802,0.33751026,0.35549107,0.38817692,0.27409667,0.3029493,0.32383987,0.46915707,0.6894621,0.26058215,0.2940187,0.40479866,0.4097581,0.29038775,0.22196402,0.9999996,0.43762326,0.3933454,0.41348156,0.38089415,0.471445,0.49627897,0.3865432,0.44734916,0.49137753,0.59253436,0.4199563,0.51395726,0.45002383,0.51569796,0.2539108,0.48981118,0.28630966,0.3223213,0.33257407,0.44648457,0.34660378,0.5141586,0.30881736,0.45004496,0.44326285,0.415059,0.47614062,0.4492557
KİTAP,0.28770193,0.21640104,0.18529668,0.4379424,0.20168573,0.43307325,0.427504,0.29164666,0.36951146,0.33167338,0.25784805,0.28790247,0.2477153,0.37710845,0.29406545,0.44332469,0.35957322,0.32761383,0.27956343,0.39093897,0.3593633,0.18099026,0.29278567,0.3469336,0.30689865,0.39015332,0.40706107,0.341735,0.3213213,0.39184794,0.41127813,0.32196918,0.25208116,0.30903822,0.34491038,0.34392086,0.38202956,0.33294442,0.19733225,0.33112192,0.28827846,0.25458395,0.43762326,0.9999997,0.3477716,0.3339557,0.3408525,0.33419648,0.24817629,0.333681,0.2556059,0.32828707,0.31637713,0.29382628,0.2069913,0.37316358,0.346175,0.4425382,0.30987364,0.3326061,0.48532677,0.37832642,0.36578286,0.3625674,0.29734868,0.35429585,0.42896402,0.3228467,0.36775336,0.32065362,0.30715483
ODA,0.32225618,0.23965488,0.25884846,0.25901297,0.20296556,0.26284206,0.28242725,0.22289707,0.2327913,0.25302663,0.28428733,0.23142771,0.15022685,0.27812645,0.28841037,0.31879023,0.23563749,0.34459746,0.18430832,0.29769638,0.26165918,0.2667972,0.21944113,0.29120404,0.25186485,0.28772464,0.32825705,0.34311146,0.34970447,0.24271318,0.28945902,0.27164456,0.2631976,0.21922381,0.31497446,0.36965445,0.2037581,0.26594555,0.27808627,0.2963474,0.27958626,0.14567086,0.3933454,0.3477716,1.0,0.25789952,0.3292778,0.30847427,0.23646553,0.20736016,0.4827052,0.3085285,0.30120072,0.2799181,0.29366487,0.26155055,0.28245124,0.26777205,0.26816013,0.3459258,0.3191568,0.30070952,0.34138224,0.17105524,0.37530416,0.32089874,0.30377504,0.333113,0.21873873,0.20878375,0.19771324
HALI,0.40472358,0.3006717,0.19757847,0.2577033,0.2584159,0.25413126,0.301401,0.27280894,0.4350878,0.37606043,0.3645044,0.32179654,0.3140678,0.37313,0.33552748,0.25149608,0.45327547,0.31816304,0.2319941,0.2769275,0.34027326,0.22212464,0.40607896,0.36865053,0.41418114,0.40776375,0.37173656,0.32073653,0.22713657,0.2882086,0.32597062,0.3344778,0.34180456,0.2553733,0.3699187,0.48858428,0.1982767,0.290449,0.3886996,0.30769196,0.31045234,0.29251215,0.41348156,0.3339557,0.25789952,0.9999997,0.31949997,0.3393043,0.484204,0.31026676,0.39783767,0.3490022,0.41179383,0.33392733,0.39744106,0.4297585,0.36677808,0.21198039,0.31644806,0.2869912,0.2567495,0.24886751,0.34941018,0.23881796,0.2787101,0.20869002,0.38628462,0.34672102,0.25674906,0.38582283,0.50632036
KÜÇÜK,0.31742033,0.31080526,0.24021755,0.34224108,0.2944628,0.33945623,0.38537386,0.42529422,0.38344297,0.42611763,0.3170103,0.43704432,0.33732235,0.43488646,0.3675127,0.35079238,0.3371347,0.3058243,0.40779385,0.34450924,0.41475677,0.20228112,0.34133327,0.40193725,0.38337055,0.40748918,0.39393112,0.35669026,0.29692248,0.63601464,0.34098974,0.3065163,0.28430092,0.4091128,0.4330654,0.38801706,0.31702003,0.2957281,0.22169122,0.2895999,0.3622997,0.4007821,0.38089415,0.3408525,0.3292778,0.31949997,0.99999994,0.32510942,0.36133695,0.4708734,0.3457144,0.31554452,0.39257216,0.39023992,0.3637446,0.4302594,0.3080343,0.28813154,0.30413026,0.20814198,0.2593836,0.33340552,0.33904764,0.2920387,0.3081748,0.27577838,0.38078746,0.4007922,0.25456142,0.38969737,0.33181962
DUVAR,0.40384996,0.3851619,0.2786189,0.34622744,0.24271436,0.341991,0.3623308,0.2760345,0.39197364,0.41692182,0.31020343,0.26499784,0.34968454,0.28879976,0.40736815,0.44474503,0.40084496,0.4495076,0.28376442,0.34482437,0.3898136,0.33287397,0.30316466,0.37260982,0.41600177,0.45246166,0.39827695,0.46236432,0.23378327,0.2465475,0.29040268,0.2844774,0.28866926,0.24248965,0.40325892,0.49866617,0.1862943,0.23414057,0.32051012,0.3162086,0.3178378,0.30332863,0.471445,0.33419648,0.30847427,0.3393043,0.32510942,0.9999997,0.3779416,0.32897812,0.32885873,0.4130549,0.4160808,0.35383967,0.33789766,0.46632513,0.33577025,0.31329888,0.3105905,0.3112473,0.2995927,0.3095017,0.5168493,0.24508649,0.423312,0.18226962,0.3467919,0.43240282,0.38342142,0.45370278,0.35115653
SALÇA,0.3369517,0.39491236,0.3904095,0.31904668,0.4123845,0.33279568,0.36595055,0.42422995,0.47434855,0.51102585,0.36284637,0.32388958,0.57728386,0.40419462,0.5704363,0.27303186,0.49828798,0.2975725,0.2892166,0.34512073,0.46147177,0.2652603,0.36558124,0.4728284,0.44570726,0.49562237,0.48013663,0.37807405,0.31266814,0.29493228,0.33926755,0.29432732,0.27794263,0.47097474,0.6344693,0.6288063,0.23418613,0.3977158,0.33380875,0.31460726,0.34517598,0.32629427,0.49627897,0.24817629,0.23646553,0.484204,0.36133695,0.3779416,0.9999995,0.3850114,0.39775768,0.5125295,0.62399864,0.49111593,0.61937714,0.49771008,0.49471983,0.25001514,0.35102344,0.30008996,0.29295027,0.3170978,0.34582424,0.3397231,0.4404363,0.1918174,0.5084755,0.43554258,0.39274693,0.42869154,0.6252873
ÇİÇEK,0.34808198,0.33776563,0.18590897,0.33301833,0.29648018,0.29421344,0.30806765,0.28831673,0.34871122,0.4642925,0.34197888,0.49394062,0.4112566,0.34975228,0.42537382,0.29455543,0.39385802,0.2678252,0.31998447,0.24002963,0.35078293,0.12668286,0.28961575,0.43855566,0.4450991,0.42466453,0.37157372,0.35582817,0.30663848,0.33505622,0.2677856,0.25466007,0.22122326,0.4328264,0.48077187,0.3627336,0.27991423,0.29014316,0.2592888,0.2627292,0.3972849,0.33133048,0.3865432,0.333681,0.20736016,0.31026676,0.4708734,0.32897812,0.3850114,0.9999999,0.29841107,0.35387048,0.35313067,0.4020268,0.294613,0.35620782,0.2983935,0.2836086,0.3199855,0.2773163,0.23018745,0.23765652,0.27815154,0.28157613,0.30552498,0.21986243,0.29835576,0.46401694,0.3099497,0.3582732,0.40987727
YATAK,0.41442066,0.34048346,0.2241305,0.28334376,0.29594788,0.2619346,0.2882039,0.31892467,0.41291046,0.34540492,0.3934071,0.21297145,0.3294048,0.3654849,0.33049756,0.23618601,0.31453234,0.344771,0.23122714,0.32694772,0.32123137,0.22262397,0.29680887,0.38653073,0.43967918,0.29842544,0.35849226,0.4476259,0.3352541,0.32855085,0.28865713,0.24677491,0.25069556,0.18755391,0.35802782,0.5367128,0.18432899,0.35169405,0.46017808,0.36667022,0.30047488,0.22791114,0.44734916,0.2556059,0.4827052,0.39783767,0.3457144,0.32885873,0.39775768,0.29841107,1.0000001,0.38557127,0.39755028,0.30546498,0.37166205,0.268857,0.2849726,0.16066447,0.35094804,0.25473353,0.23843704,0.3509938,0.352425,0.21611324,0.3900744,0.3019,0.3280963,0.36748946,0.3222543,0.3498572,0.45518586
LAMBA,0.34104475,0.40911388,0.29535693,0.26637605,0.31235254,0.35055983,0.38232794,0.4054516,0.3200758,0.3866452,0.41984344,0.39006647,0.41717452,0.43238562,0.48147213,0.3566199,0.4141654,0.37064993,0.3174388,0.3852652,0.37301558,0.35408035,0.44430694,0.44455907,0.4112078,0.40189543,0.4272605,0.4541586,0.3090623,0.24327515,0.27282313,0.20948437,0.2175321,0.372273,0.45719424,0.59616035,0.28447312,0.27646717,0.36555648,0.36776924,0.31237006,0.28311476,0.49137753,0.32828707,0.3085285,0.3490022,0.31554452,0.4130549,0.5125295,0.35387048,0.38557127,1.0,0.66616935,0.45138812,0.459179,0.5039887,0.3210066,0.26939237,0.3734444,0.27048483,0.29256985,0.2822491,0.30912042,0.32510167,0.3904572,0.19851716,0.5214778,0.41133484,0.36690748,0.3573939,0.46547982
DÜĞME,0.39545274,0.42991534,0.31221968,0.29119015,0.27076435,0.40181172,0.44032845,0.41917616,0.5139053,0.45300314,0.3504668,0.39620236,0.4747017,0.43998343,0.52781254,0.37546024,0.5267604,0.3368428,0.3720416,0.38038456,0.42704558,0.3971205,0.39034605,0.48158228,0.4957439,0.4931671,0.5488011,0.507465,0.35516095,0.2900888,0.39651746,0.19304712,0.30560252,0.37450653,0.5467939,0.7414451,0.30804482,0.32545424,0.37677523,0.34758785,0.26918492,0.23835877,0.59253436,0.31637713,0.30120072,0.41179383,0.39257216,0.4160808,0.62399864,0.35313067,0.39755028,0.66616935,0.9999998,0.46388754,0.49401605,0.5275976,0.40913913,0.28700235,0.43478322,0.2771936,0.27654943,0.31687257,0.3607188,0.32334074,0.3924213,0.18580304,0.58360505,0.37081662,0.4390932,0.47211352,0.61413217
KOKU,0.23058553,0.22704084,0.374426,0.31641066,0.35222968,0.33294162,0.2979991,0.23132975,0.36200067,0.40733114,0.31658724,0.29668257,0.3811853,0.42217675,0.36711422,0.3410215,0.40787548,0.31244317,0.32153928,0.2929827,0.4576655,0.21480118,0.2668004,0.3657689,0.41236085,0.43662935,0.3815735,0.37101766,0.24822873,0.3326461,0.21581864,0.1727931,0.2369505,0.29701772,0.44664228,0.39485133,0.24189425,0.39387953,0.3112957,0.27347842,0.36813366,0.26692703,0.4199563,0.29382628,0.2799181,0.33392733,0.39023992,0.35383967,0.49111593,0.4020268,0.30546498,0.45138812,0.46388754,0.99999946,0.45417356,0.335817,0.2763838,0.24834791,0.2468334,0.26007545,0.21516266,0.25360316,0.32116944,0.2561026,0.36222786,0.18346214,0.36956868,0.37986672,0.43007672,0.3479013,0.3734478
